Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,1/23/2017 9:31:31 AM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,1/23/2017 9:21:23 AM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20170118_MW1145-16_05_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900.5

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,135.104167
Number of Spikes - Std,202.713112
Mean Firing Rate (Hz) - Avg,0.009377
Mean Firing Rate (Hz) - Std,0.014069
Number of Active Electrodes - Avg,0.520833
Number of Active Electrodes - Std,0.74347
Weighted Mean Firing Rate (Hz) - Avg,0.094126
Weighted Mean Firing Rate (Hz) - Std,0.164078
Number of Bursts - Avg,0.145833
Number of Bursts - Std,1.010363
Burst Duration - Avg (s),0.183783
Burst Duration - Std (s),
Inter-Burst Interval - Avg (s),0.043117
Inter-Burst Interval - Std (s),
Burst Frequency - Avg (Hz),0.007773
Burst Frequency - Std (Hz),
Normalized Duration IQR - Avg,0.162162
Normalized Duration IQR - Std,
IBI Coefficient of Variation - Avg,0.641314
IBI Coefficient of Variation - Std,
Burst Percentage - Avg,0.127762
Burst Percentage - Std,0.808041
Number of Network Bursts - Avg,0
Number of Network Bursts - Std,0
Network Burst Frequency - Avg (Hz),
Network Burst Frequency - Std (Hz),
Network Burst Duration - Avg (sec),
Network Burst Duration - Std (sec),
Number of Elecs Participating in Burst - Avg,
Number of Elecs Participating in Burst - Std,
Network Burst Percentage - Avg,
Network Burst Percentage - Std,
Network IBI Coefficient of Variation - Avg,
Network IBI Coefficient of Variation - Std,
Network Normalized Duration IQR - Avg,
Network Normalized Duration IQR - Std,
Area Under Normalized Cross-Correlation - Avg,0.000186
Area Under Normalized Cross-Correlation - Std,0.000699
Area Under Cross-Correlation - Avg,6E-06
Area Under Cross-Correlation - Std,2.1E-05

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,0,546,14,12,264,2,0,0,108,286,22,669,30,605,3,218,22,340,82,101,7,78,2,0,1,745,303,104,32,98,3,0,230,167,1,22,1,15,72,22,183,18,126,106,20,724,41,40
Mean Firing Rate (Hz),0,0.037896,0.000972,0.000833,0.018323,0.000139,0,0,0.007496,0.01985,0.001527,0.046433,0.002082,0.041991,0.000208,0.01513,0.001527,0.023598,0.005691,0.00701,0.000486,0.005414,0.000139,0,6.9E-05,0.051707,0.02103,0.007218,0.002221,0.006802,0.000208,0,0.015963,0.011591,6.9E-05,0.001527,6.9E-05,0.001041,0.004997,0.001527,0.012701,0.001249,0.008745,0.007357,0.001388,0.05025,0.002846,0.002776
ISI Coefficient of Variation - Avg,,1.549669,,,1.048794,,,,,0.772545,,0.547803,,1.111096,,0.927207,,1.325154,0.910128,0.848915,,1.006756,,,,0.723381,1.412577,0.836781,,0.837264,,,0.957859,0.865668,,,,,,,1.064626,,,0.953571,,1.288312,,
Number of Active Electrodes,0,3,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,0,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0
Weighted Mean Firing Rate (Hz),0,0.181011,0,0,0.143809,0,0,0,0,0.236535,0,0.699611,0,0.668517,0,0.242088,0,0.164908,0.08995,0.104386,0,0.084398,0,0,0,0.384786,0.318712,0.108828,0,0.092171,0,0,0.243198,0.177679,0,0,0,0,0,0,0.093282,0,0,0.08995,0,0.394225,0,0
Number of Bursts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Number of Bursting Electrodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burst Duration - Avg (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183783,,
Burst Duration - Std (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
