Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,9/14/2016 1:11:29 PM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,9/14/2016 1:01:28 PM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20160907_MW1140-20_07_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,3808.583333
Number of Spikes - Std,4277.655725
Mean Firing Rate (Hz) - Avg,0.264485
Mean Firing Rate (Hz) - Std,0.297059
Number of Active Electrodes - Avg,4.291667
Number of Active Electrodes - Std,3.445369
Weighted Mean Firing Rate (Hz) - Avg,0.616265
Weighted Mean Firing Rate (Hz) - Std,0.556337
Number of Bursts - Avg,34.291667
Number of Bursts - Std,41.679608
Burst Duration - Avg (s),0.138268
Burst Duration - Std (s),0.035103
Inter-Burst Interval - Avg (s),0.026213
Inter-Burst Interval - Std (s),0.006913
Burst Frequency - Avg (Hz),0.010313
Burst Frequency - Std (Hz),0.007054
Normalized Duration IQR - Avg,0.56507
Normalized Duration IQR - Std,0.234763
IBI Coefficient of Variation - Avg,1.020207
IBI Coefficient of Variation - Std,0.268659
Burst Percentage - Avg,6.44628
Burst Percentage - Std,5.799297
Number of Network Bursts - Avg,2.833333
Number of Network Bursts - Std,5.55565
Network Burst Frequency - Avg (Hz),0.011624
Network Burst Frequency - Std (Hz),0.00652
Network Burst Duration - Avg (sec),0.627877
Network Burst Duration - Std (sec),0.206732
Number of Elecs Participating in Burst - Avg,11.824645
Number of Elecs Participating in Burst - Std,11.824645
Network Burst Percentage - Avg,7.646096
Network Burst Percentage - Std,5.031367
Network IBI Coefficient of Variation - Avg,1.349226
Network IBI Coefficient of Variation - Std,0.359947
Network Normalized Duration IQR - Avg,0.387915
Network Normalized Duration IQR - Std,0.177238
Area Under Normalized Cross-Correlation - Avg,0.038631
Area Under Normalized Cross-Correlation - Std,0.034671
Area Under Cross-Correlation - Avg,0.019533
Area Under Cross-Correlation - Std,0.031591

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,3607,5249,12217,13951,4270,11817,3216,4167,14150,1494,3607,7962,7186,3010,2007,1888,4750,15787,6562,1400,4802,2563,931,3783,5,6679,535,4693,4646,2465,3916,1492,2,6676,17,2,0,0,0,1,4,10985,314,2,0,0,1,1
Mean Firing Rate (Hz),0.250486,0.364514,0.848403,0.968819,0.296528,0.820625,0.223333,0.289375,0.982639,0.10375,0.250486,0.552917,0.499028,0.209028,0.139375,0.131111,0.329861,1.096319,0.455694,0.097222,0.333472,0.177986,0.064653,0.262708,0.000347,0.463819,0.037153,0.325903,0.322639,0.171181,0.271944,0.103611,0.000139,0.463611,0.001181,0.000139,0,0,0,6.9E-05,0.000278,0.762847,0.021806,0.000139,0,0,6.9E-05,6.9E-05
ISI Coefficient of Variation - Avg,1.565688,1.397473,1.047298,1.474403,1.38116,1.081512,0.938685,1.129073,1.158481,1.788308,2.103137,1.772454,2.015712,1.168272,1.309037,1.422772,2.055591,1.145895,1.37164,2.011062,1.637268,0.798187,2.957674,1.11218,,1.001063,1.663338,1.522933,1.15345,1.3171,1.185011,0.9676,,1.335074,,,,,,,,0.871705,2.510948,,,,,
Number of Active Electrodes,7,6,9,11,5,9,6,7,9,3,3,7,9,7,8,6,6,10,7,5,6,2,2,5,0,7,2,4,8,4,5,4,0,8,0,0,0,0,0,0,0,7,2,0,0,0,0,0
Weighted Mean Firing Rate (Hz),0.559841,0.928519,1.481111,1.394848,0.897333,1.440123,0.564815,0.638889,1.734691,0.47963,1.217778,1.248095,0.870617,0.453968,0.271389,0.317407,0.851667,1.738778,1.013492,0.247556,0.85,1.355556,0.427778,0.807778,0,1.033651,0.216667,1.281944,0.638333,0.650556,0.836667,0.41,0,0.915694,0,0,0,0,0,0,0,1.702222,0.103333,0,0,0,0,0
Number of Bursts,25,37,69,133,43,76,2,22,111,16,83,114,143,18,13,29,39,143,38,43,55,3,13,28,0,29,20,30,15,70,23,5,0,110,0,0,0,0,0,0,0,46,2,0,0,0,0,0
