Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,1/30/2017 10:37:48 AM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,1/30/2017 10:27:46 AM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20170118_MW1145-18_12_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900.25

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,10430.958333
Number of Spikes - Std,4988.304001
Mean Firing Rate (Hz) - Avg,0.724171
Mean Firing Rate (Hz) - Std,0.346314
Number of Active Electrodes - Avg,13.916667
Number of Active Electrodes - Std,3.299473
Weighted Mean Firing Rate (Hz) - Avg,0.783497
Weighted Mean Firing Rate (Hz) - Std,0.345902
Number of Bursts - Avg,501.104167
Number of Bursts - Std,213.008964
Burst Duration - Avg (s),0.198873
Burst Duration - Std (s),0.053587
Inter-Burst Interval - Avg (s),0.016223
Inter-Burst Interval - Std (s),0.002804
Burst Frequency - Avg (Hz),0.039171
Burst Frequency - Std (Hz),0.012939
Normalized Duration IQR - Avg,0.825998
Normalized Duration IQR - Std,0.31456
IBI Coefficient of Variation - Avg,1.025176
IBI Coefficient of Variation - Std,0.279081
Burst Percentage - Avg,81.681528
Burst Percentage - Std,9.067951
Number of Network Bursts - Avg,38.229167
Number of Network Bursts - Std,17.666219
Network Burst Frequency - Avg (Hz),0.044311
Network Burst Frequency - Std (Hz),0.017849
Network Burst Duration - Avg (sec),0.826412
Network Burst Duration - Std (sec),0.387632
Number of Elecs Participating in Burst - Avg,14.316316
Number of Elecs Participating in Burst - Std,14.316316
Network Burst Percentage - Avg,87.411869
Network Burst Percentage - Std,9.344603
Network IBI Coefficient of Variation - Avg,0.909471
Network IBI Coefficient of Variation - Std,0.253281
Network Normalized Duration IQR - Avg,1.192899
Network Normalized Duration IQR - Std,1.218301
Area Under Normalized Cross-Correlation - Avg,0.531595
Area Under Normalized Cross-Correlation - Std,0.0964
Area Under Cross-Correlation - Avg,2.178471
Area Under Cross-Correlation - Std,1.460989

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,11691,0,0,15442,10236,10040,17429,7649,10651,9237,9424,13202,7238,9588,4540,4150,16048,20192,6449,8839,5492,10599,6696,7757,26494,12324,8827,8718,12025,7977,5362,6650,12818,15853,10026,13040,7785,9797,7856,6510,20792,14001,15381,10646,8860,15236,14092,7027
Mean Firing Rate (Hz),0.81165,0,0,1.072063,0.710636,0.697029,1.210011,0.531033,0.739447,0.64128,0.654263,0.916551,0.502499,0.665648,0.31519,0.288114,1.114135,1.401833,0.447723,0.613649,0.381283,0.735837,0.464871,0.538531,1.83935,0.855596,0.612816,0.605249,0.834838,0.553804,0.372258,0.461677,0.889892,1.100597,0.696057,0.905304,0.540475,0.680158,0.545404,0.451958,1.443488,0.972022,1.067828,0.7391,0.615107,1.057762,0.978339,0.487851
ISI Coefficient of Variation - Avg,3.848751,,,4.623577,4.696219,3.392537,2.799813,3.013205,7.132586,4.21947,3.356612,4.810344,4.158514,6.488495,3.048471,2.879516,3.518761,5.786771,3.35194,4.849691,5.159522,3.431149,3.268719,3.491438,4.375283,4.927252,3.456547,6.352524,5.44847,3.966367,3.31595,2.548032,5.315838,8.935732,5.720452,6.481402,5.19197,4.41514,3.798419,3.688451,6.594149,7.408629,4.988124,5.704001,7.150525,4.637257,5.138335,4.768116
Number of Active Electrodes,15,0,0,15,15,16,12,13,14,16,13,16,13,15,14,9,16,16,13,16,14,13,12,16,16,15,13,16,15,14,13,14,15,16,15,16,15,15,16,12,16,15,16,14,13,16,16,14
Weighted Mean Firing Rate (Hz),0.863612,0,0,1.142572,0.755642,0.697029,1.590392,0.640335,0.83818,0.64128,0.801658,0.916551,0.603337,0.70921,0.35633,0.472832,1.114135,1.401833,0.545319,0.613649,0.429563,0.897187,0.607516,0.538531,1.83935,0.910784,0.743383,0.605249,0.885902,0.627683,0.450302,0.522236,0.945811,1.100597,0.739276,0.905304,0.571323,0.720837,0.545404,0.593354,1.443488,1.034083,1.067828,0.844607,0.74851,1.057762,0.978339,0.549768
