Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,1/25/2017 10:31:18 AM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,1/25/2017 10:21:17 AM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20170118_MW1145-18_07_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,3670.166667
Number of Spikes - Std,3299.496198
Mean Firing Rate (Hz) - Avg,0.256334
Mean Firing Rate (Hz) - Std,0.234482
Number of Active Electrodes - Avg,6.666667
Number of Active Electrodes - Std,4.007086
Weighted Mean Firing Rate (Hz) - Avg,0.477722
Weighted Mean Firing Rate (Hz) - Std,0.351548
Number of Bursts - Avg,90.833333
Number of Bursts - Std,84.178719
Burst Duration - Avg (s),0.184833
Burst Duration - Std (s),0.040557
Inter-Burst Interval - Avg (s),0.032174
Inter-Burst Interval - Std (s),0.007171
Burst Frequency - Avg (Hz),0.017165
Burst Frequency - Std (Hz),0.011615
Normalized Duration IQR - Avg,0.360867
Normalized Duration IQR - Std,0.103971
IBI Coefficient of Variation - Avg,0.614635
IBI Coefficient of Variation - Std,0.140067
Burst Percentage - Avg,20.456136
Burst Percentage - Std,15.716274
Number of Network Bursts - Avg,9.520833
Number of Network Bursts - Std,11.794318
Network Burst Frequency - Avg (Hz),0.021157
Network Burst Frequency - Std (Hz),0.010835
Network Burst Duration - Avg (sec),0.644579
Network Burst Duration - Std (sec),0.163359
Number of Elecs Participating in Burst - Avg,11.955711
Number of Elecs Participating in Burst - Std,11.955711
Network Burst Percentage - Avg,30.074108
Network Burst Percentage - Std,20.465297
Network IBI Coefficient of Variation - Avg,0.426497
Network IBI Coefficient of Variation - Std,0.142937
Network Normalized Duration IQR - Avg,0.313536
Network Normalized Duration IQR - Std,0.120064
Area Under Normalized Cross-Correlation - Avg,0.067055
Area Under Normalized Cross-Correlation - Std,0.059416
Area Under Cross-Correlation - Avg,0.051395
Area Under Cross-Correlation - Std,0.082589

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,1,0,0,3614,1384,786,1369,13,5013,1424,180,1833,3539,2445,128,65,2332,5092,1686,11007,5766,4320,997,2237,6097,5107,1188,7556,7417,1254,1282,343,6222,6693,4028,15146,4721,6065,4135,3312,11443,5035,3521,6912,7192,2800,1764,1704
Mean Firing Rate (Hz),6.9E-05,0,0,0.250972,0.096111,0.054583,0.095069,0.000903,0.348125,0.098889,0.0125,0.127292,0.245764,0.169792,0.008889,0.004514,0.161944,0.353611,0.117083,0.764375,0.400417,0.3,0.069236,0.155347,0.423403,0.354653,0.0825,0.524722,0.515069,0.087083,0.089028,0.023819,0.432083,0.464792,0.279722,1.121926,0.327847,0.421181,0.287153,0.23,0.794653,0.349653,0.244514,0.48,0.499444,0.194444,0.1225,0.118333
ISI Coefficient of Variation - Avg,,,,1.422005,1.635366,1.380708,1.798226,,1.207939,1.827917,,1.716967,1.566004,1.547967,,,1.880386,2.083536,1.342304,1.429407,1.396495,1.340068,1.755201,2.94852,1.69308,1.609438,1.113525,1.794072,1.662843,1.375982,1.579384,1.324357,2.0926,1.84493,1.953445,2.005215,1.570082,1.45101,1.420244,1.20551,1.551474,2.421863,1.803158,1.138097,1.626976,1.94871,2.043365,1.916532
Number of Active Electrodes,0,0,0,8,4,4,1,0,7,7,0,8,7,7,0,0,10,13,3,11,10,8,5,7,11,7,3,12,8,5,5,1,12,9,8,13,9,9,10,9,13,12,8,6,11,7,6,6
Weighted Mean Firing Rate (Hz),0,0,0,0.494722,0.341111,0.213056,1.385556,0,0.78,0.178413,0,0.231528,0.533175,0.364127,0,0,0.248556,0.425556,0.571111,1.103939,0.631889,0.593611,0.205556,0.331111,0.607071,0.780317,0.348889,0.686852,1.011528,0.242222,0.229333,0.196667,0.572685,0.81037,0.545,1.289744,0.55358,0.723457,0.448333,0.400494,0.97265,0.457685,0.474306,1.235556,0.708283,0.417619,0.298704,0.286296
Number of Bursts,0,0,0,78,45,4,5,0,45,59,0,65,55,48,0,0,124,184,18,166,83,181,36,91,257,201,1,149,92,24,27,2,254,227,161,345,97,131,57,59,180,207,111,49,184,108,81,69
