Investigator: 
Experiment ID: 
Description: 

,
Maestro Settings,
   Original File Time,1/23/2017 10:25:42 AM
   Sampling Frequency,12.5 kHz
   Voltage Scale,5.51E-08 V/sample
   Experiment Start Time,1/23/2017 10:15:41 AM
   Referencing Method,FpgaMedian
   Analog Mode Setting,Neural Spikes
   Plate Type,Maestro 48-Well (Opaque)
   Digital Low Pass Filter,None
   Digital High Pass Filter,5 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,37.0 Degrees C
   Heater Power,On
   AxIS Version,2.3.3.5
   MiddleMan Firmware,2.3.3.5
   Maestro Firmware,2.3.3.5
,
AxIS Batch Process,
   AxIS Version,2.5.1.10
   File Name,ON_20170118_MW1145-18_05_00(000).raw
   Requested File Section,0s to 15m0s
   Actual File Section Run,0s to 15m0s
   Recording Offset from File Start,0s
,
Digital Filter Settings,
   High Pass Filter,Butterworth
   High Pass Poles,1
   High Pass Cutoff Freq.,300 Hz
   Low Pass Filter,Butterworth
   Low Pass Poles,1
   Low Pass Cutoff Freq.,5 kHz
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,6
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,None
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,900.5

Treatment Averages,
Total Wells,48
Number of Spikes - Avg,353.041667
Number of Spikes - Std,642.404789
Mean Firing Rate (Hz) - Avg,0.024503
Mean Firing Rate (Hz) - Std,0.044587
Number of Active Electrodes - Avg,0.916667
Number of Active Electrodes - Std,1.068571
Weighted Mean Firing Rate (Hz) - Avg,0.199787
Weighted Mean Firing Rate (Hz) - Std,0.268255
Number of Bursts - Avg,0.916667
Number of Bursts - Std,3.318762
Burst Duration - Avg (s),0.176146
Burst Duration - Std (s),0.03955
Inter-Burst Interval - Avg (s),0.039912
Inter-Burst Interval - Std (s),0.014308
Burst Frequency - Avg (Hz),0.004026
Burst Frequency - Std (Hz),0.001771
Normalized Duration IQR - Avg,0.377832
Normalized Duration IQR - Std,0.337306
IBI Coefficient of Variation - Avg,0.5538
IBI Coefficient of Variation - Std,0.334538
Burst Percentage - Avg,1.473447
Burst Percentage - Std,7.174343
Number of Network Bursts - Avg,0
Number of Network Bursts - Std,0
Network Burst Frequency - Avg (Hz),
Network Burst Frequency - Std (Hz),
Network Burst Duration - Avg (sec),
Network Burst Duration - Std (sec),
Number of Elecs Participating in Burst - Avg,
Number of Elecs Participating in Burst - Std,
Network Burst Percentage - Avg,
Network Burst Percentage - Std,
Network IBI Coefficient of Variation - Avg,
Network IBI Coefficient of Variation - Std,
Network Normalized Duration IQR - Avg,
Network Normalized Duration IQR - Std,
Area Under Normalized Cross-Correlation - Avg,0.004901
Area Under Normalized Cross-Correlation - Std,0.021067
Area Under Cross-Correlation - Avg,0.000252
Area Under Cross-Correlation - Std,0.001023

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Spikes,457,1,0,1,586,0,305,6,510,77,164,52,60,406,5,0,33,92,64,662,942,742,2,310,289,854,3,924,268,165,31,114,768,1023,82,4187,16,308,81,66,371,535,66,11,176,825,17,289
Mean Firing Rate (Hz),0.031718,6.9E-05,0,6.9E-05,0.040672,0,0.021169,0.000416,0.035397,0.005344,0.011383,0.003609,0.004164,0.028179,0.000347,0,0.00229,0.006385,0.004442,0.045947,0.06538,0.051499,0.000139,0.021516,0.020058,0.059273,0.000208,0.064131,0.018601,0.011452,0.002152,0.007912,0.053304,0.071002,0.005691,0.290602,0.00111,0.021377,0.005622,0.004581,0.02575,0.037132,0.004581,0.000763,0.012215,0.05726,0.00118,0.020058
ISI Coefficient of Variation - Avg,0.781447,,,,0.911989,,1.09466,,1.023006,,1.51177,,,1.101033,,,,0.693664,,1.43859,1.481738,1.300422,,2.100888,0.928121,0.562004,,1.496224,0.769381,1.230536,,2.529677,1.013856,1.047042,,1.061176,,1.001484,,,1.288058,1.20095,,,1.010873,0.784206,,1.209755
Number of Active Electrodes,1,0,0,0,2,0,2,0,1,0,1,0,0,1,0,0,0,1,0,3,2,1,0,3,1,1,0,3,1,1,0,1,1,3,0,4,0,1,0,0,1,2,0,0,2,2,0,2
Weighted Mean Firing Rate (Hz),0.507496,0,0,0,0.307607,0,0.168795,0,0.564131,0,0.175458,0,0,0.423098,0,0,0,0.091061,0,0.22395,0.47196,0.730705,0,0.095132,0.31538,0.940589,0,0.307977,0.279845,0.177679,0,0.125486,0.710716,0.343883,0,1.140755,0,0.287618,0,0,0.345364,0.209883,0,0,0.093282,0.395891,0,0.156024
Number of Bursts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,12,0,0,0,0,0,0
Number of Bursting Electrodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Burst Duration - Avg (s),,,,,,,,,,,,,,,,,,,,,0.2252,,,0.136702,,,,0.2108,,,,,,0.16296,,0.19224,,,,,,0.128977,,,,,,
